Ville;Département;Region;2012-13
Choisy-le-Roi;Val-de-Marne;Île-de-France;41507
Talence;Gironde;Aquitaine;41358
Thionville;Moselle;Lorraine;41325
Arras;Pas-de-Calais;Nord-Pas-de-Calais;41239
Alès;Gard;Languedoc-Roussillon;41031
Garges-lès-Gonesse;Val-d'Oise;Île-de-France;41001
Gap;Hautes-Alpes;Provence-Alpes-Côte d'Azur;40761
Saint-Laurent-du-Maroni;Guyane;Guyane;40597
Melun;Seine-et-Marne;Île-de-France;40503
Bourg-en-Bresse;Ain;Rhône-Alpes;40171
Noisy-le-Sec;Seine-Saint-Denis;Île-de-France;40161
Compiègne;Oise;Picardie;40028
La Courneuve;Seine-Saint-Denis;Île-de-France;39859
Le Lamentin;Martinique;Martinique;39700
Marcq-en-Barœul;Nord;Nord-Pas-de-Calais;39600
Saint-Germain-en-Laye;Yvelines;Île-de-France;39476
Rezé;Loire-Atlantique;Pays de la Loire;39377
Bron;Métropole de Lyon;Rhône-Alpes;39232
Anglet;Pyrénées-Atlantiques;Aquitaine;39223
Gagny;Seine-Saint-Denis;Île-de-France;39172
Chartres;Eure-et-Loir;Centre-Val de Loire;38889
Bagneux;Hauts-de-Seine;Île-de-France;38398
Saint-Martin-d'Hères;Isère;Rhône-Alpes;38105
Montluçon;Allier;Auvergne;38072
Pontault-Combault;Seine-et-Marne;Île-de-France;37631
Poissy;Yvelines;Île-de-France;37597
Draguignan;Var;Provence-Alpes-Côte d'Azur;37476
Joué-lès-Tours;Indre-et-Loire;Centre-Val de Loire;37196
Savigny-sur-Orge;Essonne;Île-de-France;37135
Cherbourg-Octeville;Manche;Basse-Normandie;37121
Saint-Joseph;La Réunion;La Réunion;37069
Le Port;La Réunion;La Réunion;36952
Colomiers;Haute-Garonne;Midi-Pyrénées;36699
Saint-Martin;Saint-Martin est une COM autonome;;36622
Villefranche-sur-Saône;Rhône;Rhône-Alpes;36241
Stains;Seine-Saint-Denis;Île-de-France;36155
Saint-Benoît;La Réunion;La Réunion;36025
Échirolles;Isère;Rhône-Alpes;35826
Villepinte;Seine-Saint-Denis;Île-de-France;35820
Roanne;Loire;Rhône-Alpes;35799
Montélimar;Drôme;Rhône-Alpes;35704
Saint-Chamond;Loire;Rhône-Alpes;35564
Nevers;Nièvre;Bourgogne;35327
Conflans-Sainte-Honorine;Yvelines;Île-de-France;35135
Auxerre;Yonne;Bourgogne;35096
Sainte-Geneviève-des-Bois;Essonne;Île-de-France;35035
Châtillon;Hauts-de-Seine;Île-de-France;34960
Bagnolet;Seine-Saint-Denis;Île-de-France;34920
Vitrolles;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;34843
Thonon-les-Bains;Haute-Savoie;Rhône-Alpes;34661
Neuilly-sur-Marne;Seine-Saint-Denis;Île-de-France;34658
Haguenau;Bas-Rhin;Alsace;34406
Marignane;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;34405
Saint-Raphaël;Var;Provence-Alpes-Côte d'Azur;34115
Tremblay-en-France;Seine-Saint-Denis;Île-de-France;34081
La Ciotat;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;34063
Six-Fours-les-Plages;Var;Provence-Alpes-Côte d'Azur;34057
Creil;Oise;Picardie;33936
Agen;Lot-et-Garonne;Aquitaine;33730
Romans-sur-Isère;Drôme;Rhône-Alpes;33701
Montigny-le-Bretonneux;Yvelines;Île-de-France;33680
Le Perreux-sur-Marne;Val-de-Marne;Île-de-France;33248
Franconville;Val-d'Oise;Île-de-France;33196
Annemasse;Haute-Savoie;Rhône-Alpes;33166
Villeneuve-Saint-Georges;Val-de-Marne;Île-de-France;32994
Saint-Leu;La Réunion;La Réunion;32971
Mâcon;Saône-et-Loire;Bourgogne;32917
Cambrai;Nord;Nord-Pas-de-Calais;32847
Lens;Pas-de-Calais;Nord-Pas-de-Calais;32663
Houilles;Yvelines;Île-de-France;32399
Épinal;Vosges;Lorraine;32387
Châtenay-Malabry;Hauts-de-Seine;Île-de-France;32198
Schiltigheim;Bas-Rhin;Alsace;31691
Sainte-Marie;La Réunion;La Réunion;31596
Liévin;Pas-de-Calais;Nord-Pas-de-Calais;31580
Châtellerault;Vienne;Poitou-Charentes;31537
Meyzieu;Métropole de Lyon;Rhône-Alpes;31493
Goussainville;Val-d'Oise;Île-de-France;31255
Viry-Châtillon;Essonne;Île-de-France;31221
Dreux;Eure-et-Loir;Centre-Val de Loire;31195
L'Haÿ-les-Roses;Val-de-Marne;Île-de-France;31168
Plaisir;Yvelines;Île-de-France;31119
Mont-de-Marsan;Landes;Aquitaine;31018
Maubeuge;Nord;Nord-Pas-de-Calais;30994
Nogent-sur-Marne;Val-de-Marne;Île-de-France;30884
Les Mureaux;Yvelines;Île-de-France;30760
Clichy-sous-Bois;Seine-Saint-Denis;Île-de-France;30720
La Possession;La Réunion;La Réunion;30653
Dieppe;Seine-Maritime;Haute-Normandie;30632
Chatou;Yvelines;Île-de-France;30585
Vandœuvre-lès-Nancy;Meurthe-et-Moselle;Lorraine;30569
Malakoff;Hauts-de-Seine;Île-de-France;30420
Palaiseau;Essonne;Île-de-France;30268
Pontoise;Val-d'Oise;Île-de-France;30164
Charenton-le-Pont;Val-de-Marne;Île-de-France;30148
Rillieux-la-Pape;Métropole de Lyon;Rhône-Alpes;30140
